class,section,roll,username,phone,password
5,A,1,Mushfiq Ash Rumi,01700958141,SFfaiMD0vM
5,A,2,Adrita Ryn Hasnat,01865281984,38b7lRz8Zz
5,A,3,Afsheen Sultana,01952125284,OJ6Hsptwvj
5,A,4,Arham Zoh Karim,01853610686,4QqDnuIU4C
5,A,5,Mairin Jin Anwar,01579264712,aedBwYLk7C
5,A,6,Adrita Ash Azad,01678268149,MyGwF0y9pf
5,A,7,Arham Noor Sami,01982366944,x5QwDfNPCe
5,A,8,Aarish Ryn Jahir,01684818195,dtzaFrLCSD
5,A,9,Ruvin Ash Sarker,01881077127,JVsJRtp0e5
5,A,10,Zunaira Zoh Rahman,01983523649,vYvRjRv1kr
5,A,11,Arshia Fae Sikder,01737717074,V7N4zr8nU0
5,A,12,Nairin Ahmed,01515103239,pvmo0sSt5t
5,A,13,Mehnaz Kai Hossain,01915123741,nw2Bdml5OA
5,A,14,Nairin Ash Rahman,01680331011,sBw5Ks6SqB
5,A,15,Zarif Ash Rahman,01634815275,KiiSwn7kBK
5,A,16,Nishat Rashid,01529234039,gRLXla7bfY
5,A,17,Zubair Khandoker,01805668175,LhcLB6hfYI
5,A,18,Zakia Zee Khan,01955418257,Ni1XbaagA6
5,A,19,Nairin Ryn Nafi,01877704715,DzamcLZupl
5,A,20,Mehreen Ash Barua,01902860873,HXCnhTQPRc
5,A,21,Zawad Kai Muntasir,01914924822,Giz0Hx2hRw
5,A,22,Mairin Nizam,01995817196,0mx1BMxBDo
5,A,23,Rudra Nizam,01948534174,L8E4jgEylu
5,A,24,Fariha Das,01560284534,xnzmK6LoQd
5,A,25,Zohair Ash Barua,01765518111,scg7OUi8cg
5,A,26,Samiha Bhuiyan,01692777353,nlmA3xa1Rz
5,A,27,Mushfiq Ash Chowdhury,01736271734,67CEzwpgsy
5,A,28,Arham Ray Arefin,01897973737,nI5miwuZgi
5,A,29,Ruvin Ash Rafiq,01695140597,CcgH4VGpGg
5,A,30,Arshia Jin Anwar,01956239669,BQoaNT86R7
5,A,31,Nihal Zoh Ahmed,01831740915,CRCn5vPgvQ
5,A,32,Tanzim Zee Jahir,01869696956,nIKTKc0On2
5,A,33,Rishad Zee Haque,01635214213,TbrNeaOLsC
5,A,34,Fariha Karim,01641392173,gMataT7ieP
5,A,35,Arshia Zee Sami,01525649920,GwPuSsmmSw
5,A,36,Ishraq Zee Rashid,01597614577,jRe9R2QFjh
5,A,37,Mairin Jahir,01886361397,WEqYbirs2K
5,A,38,Nihal Zee Sanyal,01568014693,ZipYLpzunw
5,A,39,Raiqa Zee Molla,01963131205,pCv44msfqy
5,A,40,Nihira Fae Jahan,01900711506,ZuTKxeFuUa
5,A,41,Zinia Zee Tasnim,01953710816,q74NgADykT
5,A,42,Rishad Ash Jahan,01933322814,5skP2yxONb
5,A,43,Adrita Noor Nafi,01976984022,w5Xbg3Tdz4
5,A,44,Maliha Fae Rahman,01666815029,E6Mbw4nadA
5,A,45,Iftekhar Sajid,01951442132,1ZamQjcfOT
5,A,46,Kashfi Ray Khan,01591763737,WSyeeRdVas
5,A,47,Tanzim Ryn Nizam,01615795823,bRxmDlOug1
5,A,48,Sazim Jin Faruqi,01900292816,sJ4XIjuKgY
5,A,49,Saimun Jin Rafiq,01526182814,rIT8iW0BLE
5,A,50,Zohair Fae Molla,01935713255,E84m8pMlT1
