class,section,roll,username,phone,password
6,B,1,Raqib Hridoy,01663164038,S0jNTXP2fL
6,B,2,Nafiza Sabbir,01619076834,Uh3W8U9XpG
6,B,3,Hridita Kai Kamal,01910783620,2US4cnYjJD
6,B,4,Arnika Zee Sabbir,01736167343,4qv9PZLwYE
6,B,5,Rifah Riyad,01975422283,la1nkufMqH
6,B,6,Areeb Kai Roy,01905333020,e0QkcscfkL
6,B,7,Tahmid Sikder,01650458748,pLiNzWGQ72
6,B,8,Arnika Ryn Khandoker,01530829989,FhqcUSxTlv
6,B,9,Ibtihaj Zee Rashid,01716821265,kjrgkYzWda
6,B,10,Zinia Zee Nizam,01648349904,Hrsi1GXpZA
6,B,11,Zakia Jin Sikder,01898073161,LYDXTC22wM
6,B,12,Sakina Jin Sami,01705390847,Qxh7t8ww9k
6,B,13,Mehreen Jin Nayer,01887582407,chCONPWMDj
6,B,14,Arnika Kamal,01600043858,dd0OFNIfDn
6,B,15,Zafreen Zoh Hossain,01527011745,sR5rBGv0Vi
6,B,16,Zeenat Ryn Nafi,01873003358,RYl5p9zhc1
6,B,17,Nairin Bhuiyan,01519644399,7NQbfeq9fL
6,B,18,Arham Noor Riyad,01881534981,f4oHuxHRAC
6,B,19,Mehnaz Sami,01711013476,Ggt9ziqGGn
6,B,20,Nairin Kai Imtiaz,01733442243,qp84wfAFsc
6,B,21,Zinia Roy,01986743194,EWF7njoAau
6,B,22,Ayman Kamal,01510620301,bxNxdon8ux
6,B,23,Mehreen Ray Riyad,01548987575,7HGmhd7qO8
6,B,24,Arham Ash Sikder,01534273669,ay1amsZR5h
6,B,25,Sazim Noor Arefin,01719531070,GzA5jLzPqn
6,B,26,Tanzim Ash Azad,01563125260,nIQALOLoLO
6,B,27,Zinia Nayer,01776817326,7opdr0DtFv
6,B,28,Nihira Fae Karim,01901746877,529LxRnYLS
6,B,29,Sanjida Zee Banik,01704579170,5rmQVuZqqe
6,B,30,Nihira Zee Banik,01560169377,HYFdEnP8pg
6,B,31,Anika Zee Nafi,01614803104,HvgftEJcjl
6,B,32,Arham Sharif,01676346268,QhDeopwflt
6,B,33,Irfan Ash Sayeed,01872445128,4KqyCbaBuW
6,B,34,Afsheen Mazumder,01554851748,8iAl6NF2J9
6,B,35,Adrita Molla,01709048302,TMRZyjLF30
6,B,36,Arham Kai Mazumder,01663101265,RWtIBBeP30
6,B,37,Fardin Kai Sayeed,01944801378,EkQhgqHAVZ
6,B,38,Zarif Noor Roy,01812947660,j4ZBIyQrdY
6,B,39,Irfan Noor Riyad,01829010733,vZYTvsGnGv
6,B,40,Afsheen Ray Zaman,01842160392,tdQkjTV8ea
6,B,41,Iftekhar Noor Hossain,01547233440,8a0XePSrAu
6,B,42,Tahmid Ryn Ahmed,01867710051,ZrKT3Ek7pM
6,B,43,Tanzim Ryn Sayeed,01630425288,ez0YPzRhTU
6,B,44,Zunaira Ray Sajid,01965402064,E2qdLVohvh
6,B,45,Zayden Rafiq,01732428509,NDKEblzlkp
6,B,46,Fariha Hasnat,01518058644,5sujJFMDYJ
6,B,47,Irfan Molla,01633159574,TryudthHRa
6,B,48,Fardin Nafi,01783923222,xN0HAOiERZ
6,B,49,Faiyaz Arefin,01983135111,nFjcImrftT
6,B,50,Zayden Noor Molla,01675770900,8BKahti8FS
