teacher_id,teacher_name,phone,password,class_teacher_for
TCH0001,Ritvik Noor Molla,01979627756,KNfgm8Lxh1,Class 1-A
TCH0002,Tahsin Zee Bhuiyan,01571674816,NrvdeWJBnz,Class 1-B
TCH0003,Farzana Kai Sayeed,01761857073,LniPzv18s0,Class 2-A
TCH0004,Ritvik Kai Riyad,01660992471,YkklpIOK7x,Class 2-B
TCH0005,Tashfi Ray Haque,01664967554,OSZNGjCtWh,Class 3-A
TCH0006,Ibtihaj Bhuiyan,01732196307,70GDXiEV0L,Class 3-B
TCH0007,Nairin Imtiaz,01825545065,6921tJpbhi,Class 4-A
TCH0008,Sakib Ash Sarker,01644677206,Dgiaavu4aD,Class 4-B
TCH0009,Arshia Noor Faruqi,01739455084,zLm58vw20v,Class 5-A
TCH0010,Mehreen Jin Ahmed,01797577211,joEzpzEJZ2,Class 5-B
TCH0011,Mehreen Ray Anwar,01887611811,OCpUKO5lpg,Class 6-A
TCH0012,Afsheen Zee Anwar,01926112982,SLJdpBk6U1,Class 6-B
TCH0013,Raiqa Jahan,01891230979,ZSN6TZiHqk,Class 7-A
TCH0014,Zeenat Ryn Khandoker,01889536025,a57PCkejg1,Class 7-B
TCH0015,Nihira Kai Ahmed,01930570481,eJTK0or0UY,Class 8-A
TCH0016,Maliha Mazumder,01791810795,QICDPcCx7Y,Class 8-B
TCH0017,Mehreen Sarker,01821664202,KG6MzbUQS9,Class 9-A
TCH0018,Farzana Noor Rumi,01778570392,ox6nRk47A0,Class 9-B
TCH0019,Nabila Ryn Jahan,01831150601,QQEPzLDGyr,Class 10-A
TCH0020,Nihira Anwar,01737757432,FDt4utzNit,Class 10-B
